fn,md5_repo,md5_prod,delta_bytes,balde_auto,critica,prioridade,decisao,responsavel
approve-password-reset,eb7fdc8a2c2984bd21be2e78214a415d,c613f65e6c77e74edfb014402c2e9fe4,-185,C,true,P0,,
create-user,92ac650890ef4e4ae578c8aef0e3556a,94d94d19f046d1d0270f83a91d608225,-148,C,true,P0,,
detect-new-device,fe19077cb19880cdf9f355f0036f67f1,e28e3093d2b4a5f22a7e1d5f9234c67b,-194,C,true,P0,,
elevenlabs-webhook,f76b90e780a6e8a1924f9223078ab13e,0257cf3e12bf84ba6617c3b9ae361182,-74,C,true,P0,,
evolution-webhook,85a6dbdf2296816c0a7c8bb0ea09f732,186e623e8995427b05931daabc5623c6,95,C,true,P0,,
login-attempts,b3cb559b0e2140dd16024ac48eec67a6,edac0396edbdbc475ec4af4673c2fac0,-145,C,true,P0,,
webauthn,f4154abd3cd25c01e54b8ef4f3d4367c,85451ee25db7af3f3f1596b7c849bef3,-334,C,true,P0,,
whatsapp-webhook,b2ec55c3147fa14cc593ff49ec5a1362,bf91596ab2ef64f294daf1c49541b77a,-167,C,true,P0,,
analyze-external-db,8a5b8b0921bfbf64e722b97417b280e0,8bf7424dbd89122b48444ad80d325194,-194,C,true,P1,,
external-db-bridge,9d1a04ff4b541043372db44954d918c9,a69b96b96ad13b024a46c785cd294676,-330,C,true,P1,,
external-db-proxy,f01022e147d874dbc5ba53befa5a6261,4de955713b85c953efb412853885e943,-621,C,true,P1,,
public-api,e3460f5657b15e9f2c0dbc694822c15f,58891156910671d7bb8f0793e517b97b,-95,C,true,P1,,
auto-close-conversations,812f2cd824d0cd8f9854758398a0ba54,d2ba13694dd2afdd823026c8f6624e69,-91,B,false,P2,,
auto-escalate-sla,474ddea08a44fa6407185255ecc37d5c,bd04f018978e7d3d38a58764370cd297,-38,D,false,P2,,
cleanup-rate-limit-logs,301935d4cd081137ba7c7190e6c92cdc,b2264a945f6756b37cc6037de07c12ad,-51,B,false,P2,,
cleanup-storage-orphans,43e1b2c8f6a3c5207c950d0c41da4f4f,ae4c8b8a4f958ba157f010f94bc2f1ee,-128,B,false,P2,,
nps-scheduler,48d834170631a6d75c1a89cbfc41a58a,ef06f68e2c392231fe98498bcb66d442,-141,B,false,P2,,
queue-rebalance,64cc2b3dde606a711426967792a0329c,ffa538aa0020083054f74dcf853c2c72,-212,B,false,P2,,
recover-corrupted-audios,0627af5278677743cdea130620bf9da2,3fc163ee130f80cfbd276be1fe74c091,-137,B,false,P2,,
reprocess-failed-messages,2273857e6907fa7204ab98ec74bce826,8f0e2e70ff37c6669663c997a14f69e8,-159,B,false,P2,,
send-rate-limit-alert,3e33d7a60ad51813bb3293726738fdf2,2d021bbaa766083127dd36921a00f708,-84,B,false,P2,,
send-scheduled-report,c43c57abdeeaea5688379ddff269e027,89583a464af092da20d99439b6ed118e,-248,B,false,P2,,
sentiment-alert,716a696276d4ba8faaa0bf7947bd4e46,5346335f96f6537b3af60db3bab2e3b5,-143,B,false,P2,,
sicoob-outbox-consumer,55ffac07f670340cab7f9348fcd7b0a7,fc290d30739a115f453b1889d996fea6,-258,B,false,P2,,
sla-alert-forward,9cd28fe5d61b9ff89ca8afb39d2b73f6,98a2e5f5c4f375fd96d22dd19fed8b56,-141,B,false,P2,,
sla-alert-log-failure,68f4da44ee42757b62522e3fda7537b6,f5da4c9734cf72fbe752a34017a48840,-102,B,false,P2,,
talkx-scheduler,cf488e97a612fcd5696a22d4ca6d780c,cda82b1a309352a0117f163e76976a99,-126,B,false,P2,,
